RankSort descending,State
1,Hawaii
2,Iowa
3,Minnesota
4,New York
5,Maryland
6,Michigan
7,New Jersey
8,Delaware
9,Pennsylvania
10,Connecticut
11,Illinois
12,Vermont
13,Ohio
14,Nebraska
15,Rhode Island
16,California
17,Maine
18,Arizona
19,Wisconsin
20,West Virginia
21,North Carolina
22,New Mexico
23,Massachusetts
24,Florida
25,Alabama
26,North Dakota
27,New Hampshire
28,Tennessee
29,Mississippi
30,Texas
31,Missouri
32,Kentucky
33,Colorado
34,South Dakota
35,South Carolina
36,Arkansas
37,Indiana
38,Oklahoma
39,Montana
40,Georgia
41,District of Columbia
42,Virginia
43,Kansas
44,Alaska
45,Louisiana
46,Washington
47,Nevada
48,Wyoming
49,Idaho
50,Utah
51,Oregon
