,State,"$15,000 - 24,999","$25,000 - 34,999","$35,000 -  49,999","$50,000+",1-13 days when mental health not good,1-13 days when physical health not good,14+ days when mental health not good,14+ days when physical health not good,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,"American Indian or Alaskan native, non-Hispanic","Asian, non-Hispanic","Black, non-Hispanic",College+,Divorced,Employed,Female,H.S. or G.E.D.,Hispanic,Homemaker,"Less than $15,000",Less than H.S.,Male,Married,"Multiracial, non-Hispanic","Native Hawaiian or other Pacific Islander, non-Hispanic",Never married,No Depression Diagnosis,No work >yr,No work< yr,"Other race, non-Hispanic",Partnered,Retired,Self-employed,Separated,Some post-H.S.,Student,Unable to work,"White, non-Hispanic",Widowed,Depression Diagnosis,Zero days when mental health not good,Zero days when physical health not good,State Code,GeoLocation
0,Alabama,20.0,10.4,14.6,42.9,24.5,23.4,17.5,16.0,12.2,16.6,15.5,16.1,16.9,22.6,1.5,0.7,25.3,22.4,11.7,42.0,52.3,31.2,3.5,5.7,12.2,14.7,47.7,50.0,0.8,,23.8,47.275000000000006,2.0,3.2,0.5,3.4,20.3,8.2,3.1,31.7,4.9,13.7,67.5,8.0,52.724999999999994,58.0,60.6,AL,"(32.84057112200048, -86.63186076199969)"
1,Alaska,12.3,8.9,12.5,60.4,24.8,29.0,12.0,9.8,12.8,20.6,17.4,15.6,16.8,16.7,13.4,5.0,4.5,26.3,12.0,54.5,47.5,28.5,7.3,5.6,5.9,8.8,52.5,51.0,4.2,,23.6,47.675000000000004,2.0,3.2,1.0,6.8,15.7,9.4,2.0,36.3,3.9,5.6,63.6,4.6,52.324999999999996,63.1,61.2,AK,"(64.84507995700051, -147.72205903599973)"
2,All States and DC (median) **,14.9,9.8,13.8,52.7,25.0,24.6,13.8,12.6,12.4,16.9,15.9,15.8,16.7,22.0,1.1,2.3,6.8,27.1,11.2,49.0,51.1,29.0,8.4,5.1,7.9,10.5,48.9,51.5,1.3,,23.7,48.074999999999996,2.2,2.6,0.5,4.7,19.6,9.3,2.1,31.6,5.1,6.3,73.3,6.8,51.925000000000004,61.4,63.1,UW,
3,"All States, DC and Territories (median) **",15.0,9.8,13.8,52.5,24.9,24.6,13.8,12.6,12.4,16.9,15.9,15.8,16.7,22.0,1.1,2.3,6.1,27.1,11.2,49.0,51.1,29.0,8.4,5.2,8.2,10.7,48.9,51.4,1.3,,23.7,48.075,2.2,2.6,0.5,4.8,19.4,9.3,2.1,31.4,5.1,6.3,71.9,6.8,51.925,61.4,63.0,US,
4,Arizona,17.8,10.9,14.5,48.1,25.6,25.6,14.4,13.2,12.5,17.5,16.0,15.3,15.4,23.3,3.7,3.4,4.4,25.6,11.6,46.1,50.7,25.4,28.2,6.3,8.7,13.9,49.3,49.6,0.9,,24.1,50.675,2.4,2.8,0.9,5.4,21.3,9.6,2.5,35.0,5.3,6.2,58.4,6.8,49.325,60.0,61.2,AZ,"(34.865970280000454, -111.76381127699972)"
5,Arkansas,21.4,12.9,14.5,38.7,23.5,23.6,17.8,17.4,12.5,16.8,15.9,15.6,16.3,22.8,1.2,0.9,14.3,20.4,12.8,42.6,51.4,34.5,6.9,6.3,12.5,13.8,48.6,52.2,1.3,,20.1,47.4,2.6,2.4,0.5,4.1,20.2,9.5,2.7,31.3,4.0,12.3,74.9,8.1,52.599999999999994,58.7,59.0,AR,"(34.74865012400045, -92.27449074299966)"
6,California,12.8,9.0,10.8,52.7,25.2,23.6,11.9,11.6,12.1,19.2,17.3,16.5,15.7,19.2,0.5,15.7,5.5,29.8,8.9,47.8,50.8,22.0,36.2,7.6,14.6,16.8,49.2,49.5,1.4,0.3,26.4,50.25,2.3,3.4,1.1,6.6,16.2,11.1,2.9,31.4,6.5,5.1,39.3,5.7,49.75,62.9,64.8,CA,"(37.63864012300047, -120.99999953799971)"
7,Colorado,13.1,8.3,11.6,61.1,28.0,26.3,12.3,10.0,12.0,19.1,17.6,16.2,16.0,19.1,1.0,2.9,3.9,36.5,11.2,51.2,50.0,22.8,19.0,6.3,5.8,9.2,50.0,53.2,1.4,0.1,21.9,49.475,1.7,2.7,0.5,6.0,16.7,12.4,2.4,31.5,4.6,4.4,71.1,5.3,50.52499999999999,59.7,63.7,CO,"(38.843840757000464, -106.13361092099967)"
8,Connecticut,11.4,8.2,11.2,61.3,25.4,24.2,11.3,10.6,12.3,15.4,14.9,16.7,18.2,22.5,0.8,4.2,9.7,35.2,10.3,50.1,51.8,27.8,15.2,4.3,7.8,10.1,48.2,49.7,0.8,,26.0,48.5,2.7,3.2,0.9,5.3,19.9,8.6,1.7,26.9,5.6,5.5,68.4,7.0,51.5,63.2,65.2,CT,"(41.56266102000046, -72.64984095199964)"
9,Delaware,13.7,8.8,13.4,56.4,25.3,25.5,13.5,12.5,11.3,16.5,14.9,15.4,17.5,24.4,0.8,3.7,20.6,28.6,10.3,50.1,52.2,31.9,8.1,4.8,7.8,11.0,47.8,50.3,1.0,,25.5,48.525000000000006,1.9,2.2,0.6,4.4,21.4,7.9,2.2,28.6,5.1,6.7,65.0,7.4,51.475,61.3,62.0,DE,"(39.008830667000495, -75.57774116799965)"
